Time,R Scale 1,R Scale 2,G Speed,SV,Longitude,Latitude,raw1,raw2,raw3,raw4
14:08:59.509,77,50,0,11,120.6862869,24.3187370,3076883,0,1151412,0
14:08:59.646,78,50,0,11,120.6862869,24.3187370,3086865,0,1151733,0
14:08:59.703,78,50,0,11,120.6862869,24.3187370,3090815,0,1151906,0
14:08:59.801,77,50,0,11,120.6862869,24.3187370,3077082,0,1150864,0
14:08:59.901,77,50,0,11,120.6862869,24.3187370,3077082,0,1150864,0
14:09:00.041,78,50,0,12,120.6862869,24.3187370,3091120,0,1151477,0
14:09:00.107,78,50,0,12,120.6862869,24.3187370,3091120,0,1151477,0
14:09:00.254,78,50,0,12,120.6862869,24.3187351,3095476,0,1151351,0
14:09:00.305,78,50,0,12,120.6862869,24.3187351,3095476,0,1151351,0
14:09:00.451,78,50,0,12,120.6862869,24.3187351,3094583,0,1151298,0
14:09:00.500,78,50,0,12,120.6862869,24.3187351,3088393,0,1151423,0
14:09:00.633,78,50,0,12,120.6862869,24.3187351,3087256,0,1151847,0
14:09:00.715,77,50,0,12,120.6862869,24.3187351,3065909,0,1151424,0
14:09:00.849,78,50,0,12,120.6862869,24.3187351,3090248,0,1151524,0
14:09:00.915,77,50,0,12,120.6862869,24.3187351,3071520,0,1151260,0
14:09:01.084,77,50,0,12,120.6862869,24.3187351,3077814,0,1151295,0
14:09:01.101,77,50,0,12,120.6862869,24.3187351,3077814,0,1151295,0
14:09:01.267,78,50,0,12,120.6862869,24.3187351,3091429,0,1151141,0
14:09:01.300,78,50,0,12,120.6862869,24.3187351,3091429,0,1151141,0
14:09:01.446,78,50,0,12,120.6862869,24.3187351,3092354,0,1151141,0
14:09:01.512,78,50,0,12,120.6862869,24.3187351,3088571,0,1151762,0
14:09:01.673,78,50,0,12,120.6862869,24.3187351,3090399,0,1151100,0
14:09:01.706,78,50,0,12,120.6862869,24.3187351,3095598,0,1151274,0
14:09:01.806,78,50,0,12,120.6862869,24.3187351,3092208,0,1151345,0
14:09:01.912,78,50,0,12,120.6862869,24.3187351,3088526,0,1151672,0
14:09:02.041,78,50,0,12,120.6862869,24.3187351,3088223,0,1151505,0
14:09:02.107,78,50,0,12,120.6862869,24.3187351,3091951,0,1151519,0
14:09:02.240,78,50,0,12,120.6862869,24.3187351,3094849,0,1151121,0
14:09:02.301,78,50,0,12,120.6862869,24.3187351,3094849,0,1151121,0
14:09:02.478,78,50,0,12,120.6862869,24.3187351,3091763,0,1151190,0
